uid,AcademicInterest,ExtracurricularActivities,Skills,Major,GPA,Languages,ClubMemberships,ResearchInterests
492,Mathematics,Sports Team,"Leadership, Problem Solving, Data Analysis, Artistic, Programming, Public Speaking",History,3.17,German,"Music Club, Volunteer Group, Sports Team, Coding Club, Art Club, Debate Club",Healthcare Management
493,Mathematics,Coding Club,Programming,Psychology,2.62,"Japanese, Spanish, English, Chinese, German, French",Art Club,Astrophysics
494,History,Sports Team,"Artistic, Leadership, Data Analysis",Mathematics,2.74,"Chinese, French, Spanish, Japanese","Music Club, Volunteer Group, Debate Club, Sports Team, Art Club",Sustainable Agriculture
495,Mathematics,Art Club,"Artistic, Leadership",History,3.14,"French, Japanese, German, Spanish, English, Chinese","Coding Club, Art Club",Biomedical Engineering
496,Psychology,Debate Club,Programming,Biology,2.63,"French, German","Volunteer Group, Coding Club, Debate Club, Art Club",Data Science
497,Biology,Sports Team,"Data Analysis, Problem Solving, Artistic",Psychology,3.97,German,"Sports Team, Volunteer Group, Art Club, Coding Club",Healthcare Management
498,Mathematics,Debate Club,Public Speaking,Mathematics,3.38,"German, French, Spanish, English, Chinese, Japanese","Music Club, Art Club, Coding Club",Cybersecurity
499,Mathematics,Music Club,"Data Analysis, Leadership, Artistic, Problem Solving, Programming",Mathematics,3.14,"Spanish, Japanese","Debate Club, Sports Team",Biomedical Engineering
500,Computer Science,Coding Club,"Artistic, Programming, Data Analysis, Problem Solving, Public Speaking, Leadership",Biology,2.71,"French, English, German","Debate Club, Sports Team, Music Club",Blockchain Technology
501,Physics,Volunteer Group,"Data Analysis, Programming, Artistic, Problem Solving, Public Speaking",Biology,2.28,"English, French, German, Chinese, Japanese, Spanish","Music Club, Art Club, Debate Club",Environmental Sustainability
502,Physics,Sports Team,Data Analysis,Physics,2.06,"French, English, German, Chinese, Japanese, Spanish","Music Club, Sports Team, Debate Club, Art Club, Coding Club, Volunteer Group",Blockchain Technology
503,Computer Science,Coding Club,"Public Speaking, Problem Solving, Data Analysis, Programming, Artistic, Leadership",Biology,3.11,"Chinese, English, Japanese, German",Coding Club,Educational Technology
504,Physics,Debate Club,"Data Analysis, Artistic, Leadership, Programming, Public Speaking",History,3.28,"English, German, Chinese, Japanese, Spanish, French","Coding Club, Music Club, Art Club, Sports Team, Volunteer Group",Sustainable Agriculture
505,Mathematics,Debate Club,"Programming, Artistic, Data Analysis",Psychology,3.15,"French, Japanese, English, Spanish, German, Chinese","Volunteer Group, Sports Team",Cognitive Psychology
506,Mathematics,Volunteer Group,"Data Analysis, Problem Solving, Programming, Public Speaking, Leadership",Psychology,3.84,"Japanese, English, German, Chinese, French, Spanish",Coding Club,Astrophysics
507,History,Music Club,"Leadership, Public Speaking, Artistic, Programming, Data Analysis",Psychology,2.59,"Japanese, Chinese, Spanish","Coding Club, Debate Club, Volunteer Group, Art Club, Music Club, Sports Team",Nanotechnology
508,Computer Science,Music Club,"Problem Solving, Public Speaking, Programming, Artistic",History,2.06,"Spanish, English, Japanese, German, French",Coding Club,Nanotechnology
509,Physics,Debate Club,"Data Analysis, Public Speaking",Physics,3.97,"English, Chinese","Sports Team, Debate Club, Volunteer Group, Coding Club",Sustainable Agriculture
510,Computer Science,Coding Club,"Public Speaking, Programming, Problem Solving, Leadership, Data Analysis, Artistic",History,3.22,"Spanish, Chinese, English, French","Sports Team, Debate Club, Music Club, Art Club, Volunteer Group",Behavioral Economics
511,Mathematics,Sports Team,Programming,Physics,3.66,"English, Spanish, Chinese, German, Japanese","Music Club, Volunteer Group, Coding Club, Art Club",Machine Learning
512,Physics,Debate Club,"Leadership, Public Speaking, Data Analysis, Problem Solving, Programming",Physics,2.8,"German, Japanese, Chinese, Spanish, English, French",Volunteer Group,Behavioral Economics
513,Psychology,Sports Team,"Data Analysis, Artistic, Problem Solving",Biology,2.55,"German, English","Debate Club, Art Club, Music Club, Sports Team, Volunteer Group, Coding Club",Climate Change
514,Computer Science,Coding Club,"Data Analysis, Artistic, Public Speaking, Problem Solving",Computer Science,2.71,"Japanese, German, Spanish, English",Coding Club,Renewable Energy
515,Computer Science,Art Club,"Data Analysis, Public Speaking",Biology,3.62,"Japanese, Spanish, Chinese, English, French","Coding Club, Sports Team, Art Club, Debate Club, Music Club, Volunteer Group",Sustainable Agriculture
516,Computer Science,Art Club,Problem Solving,Mathematics,2.73,"French, Spanish","Coding Club, Art Club, Sports Team, Debate Club, Music Club",Healthcare Management
517,History,Music Club,"Problem Solving, Artistic",Biology,2.87,German,"Music Club, Volunteer Group, Art Club, Sports Team, Coding Club",Cognitive Psychology
518,Physics,Volunteer Group,"Programming, Artistic, Problem Solving",Psychology,2.77,"Japanese, Chinese, French, English","Music Club, Art Club, Sports Team, Coding Club, Volunteer Group, Debate Club",Social Sciences
519,Computer Science,Art Club,"Data Analysis, Artistic, Leadership",Physics,3.07,"Chinese, Japanese, French, German","Debate Club, Music Club, Volunteer Group, Sports Team, Art Club",Renewable Energy
520,Computer Science,Art Club,"Artistic, Programming, Problem Solving",Psychology,3.63,"Japanese, English, Chinese, French, German, Spanish","Music Club, Art Club, Sports Team, Debate Club",Environmental Sustainability
521,Biology,Art Club,"Artistic, Leadership, Data Analysis",History,3.43,"German, Japanese, Chinese, Spanish, English, French","Coding Club, Art Club, Sports Team",Political Science
522,Biology,Music Club,Artistic,History,3.57,"English, French, Chinese","Music Club, Art Club, Coding Club, Sports Team, Debate Club",Biomedical Engineering
523,Biology,Debate Club,"Data Analysis, Artistic, Programming, Problem Solving, Leadership",Psychology,3.35,"English, Chinese, German, Spanish, Japanese, French","Debate Club, Art Club",Astrophysics
524,Biology,Coding Club,Data Analysis,Physics,2.55,Chinese,Art Club,Healthcare Management
525,Biology,Music Club,"Programming, Problem Solving, Public Speaking",Computer Science,3.89,"Japanese, Spanish, Chinese, German, English, French","Art Club, Volunteer Group, Coding Club",Political Science
526,Psychology,Volunteer Group,"Public Speaking, Problem Solving",Physics,3.72,"Spanish, German","Art Club, Debate Club, Music Club, Sports Team, Coding Club, Volunteer Group",Environmental Sustainability
527,Computer Science,Volunteer Group,Programming,Physics,3.62,"Chinese, Spanish, English, Japanese, German","Debate Club, Coding Club, Art Club, Volunteer Group, Music Club",Climate Change
528,Physics,Sports Team,"Public Speaking, Leadership, Programming, Artistic",Physics,3.58,"French, English, Chinese, Spanish, German, Japanese","Volunteer Group, Coding Club, Sports Team",Data Science
529,Biology,Volunteer Group,"Problem Solving, Leadership, Data Analysis, Artistic",Mathematics,3.61,"German, Japanese","Art Club, Sports Team",Natural Language Processing
530,Mathematics,Music Club,Problem Solving,Physics,3.6,"German, Chinese, English, Spanish","Volunteer Group, Sports Team, Music Club, Art Club, Coding Club",Behavioral Economics
531,Physics,Debate Club,"Public Speaking, Programming, Problem Solving",Psychology,3.13,"Chinese, German, English, Japanese","Coding Club, Art Club, Music Club, Volunteer Group",Sustainable Agriculture
532,Mathematics,Coding Club,"Programming, Problem Solving, Data Analysis, Leadership, Public Speaking",History,3.85,"German, Japanese, Spanish, French","Art Club, Sports Team, Debate Club, Coding Club, Music Club, Volunteer Group",Cybersecurity
533,Mathematics,Debate Club,"Leadership, Artistic, Programming, Public Speaking, Problem Solving, Data Analysis",Computer Science,3.4,"Japanese, German, Chinese","Debate Club, Volunteer Group, Music Club, Art Club",Blockchain Technology
534,Biology,Debate Club,"Programming, Artistic, Problem Solving",Computer Science,4,"Chinese, French, Spanish, Japanese, German","Volunteer Group, Art Club, Music Club, Sports Team, Coding Club, Debate Club",Political Science
535,Psychology,Volunteer Group,Programming,History,3.37,"Japanese, Spanish, French, English, Chinese","Volunteer Group, Coding Club",Quantum Computing
536,Mathematics,Sports Team,"Artistic, Programming, Public Speaking, Data Analysis, Problem Solving, Leadership",Biology,3.81,"German, English",Sports Team,Cybersecurity
537,Computer Science,Debate Club,"Programming, Artistic, Data Analysis, Problem Solving, Public Speaking",Psychology,2.59,"Japanese, Chinese, German, French","Volunteer Group, Debate Club",Nanotechnology
538,Computer Science,Volunteer Group,"Public Speaking, Leadership, Problem Solving",Physics,2.94,"German, Spanish, Chinese, French, Japanese, English","Art Club, Music Club, Sports Team",Space Exploration
539,History,Art Club,"Public Speaking, Leadership, Problem Solving",Psychology,3.58,"German, Japanese, Spanish, English","Debate Club, Music Club, Sports Team, Volunteer Group, Coding Club",Urban Planning
540,Computer Science,Sports Team,Problem Solving,History,3.78,"Chinese, Spanish, Japanese, English",Art Club,Bioinformatics
541,Mathematics,Music Club,Problem Solving,History,2.55,"Chinese, Japanese, French","Sports Team, Coding Club, Music Club, Debate Club, Volunteer Group, Art Club",Human-Computer Interaction
542,Psychology,Sports Team,"Programming, Data Analysis, Leadership, Artistic, Public Speaking",Mathematics,2.24,English,Art Club,Environmental Sustainability
543,Physics,Debate Club,"Data Analysis, Leadership, Public Speaking, Artistic",Biology,3.39,German,Debate Club,Social Sciences
544,Mathematics,Sports Team,"Leadership, Public Speaking, Data Analysis, Artistic",Physics,3.84,"English, German, Chinese","Art Club, Coding Club, Sports Team, Music Club, Volunteer Group",Political Science
545,Psychology,Coding Club,"Problem Solving, Programming, Data Analysis, Leadership, Public Speaking, Artistic",Biology,2.36,"Japanese, French, English","Volunteer Group, Music Club, Coding Club, Debate Club, Sports Team",Cybersecurity
546,History,Sports Team,"Artistic, Public Speaking, Problem Solving, Data Analysis, Leadership, Programming",Physics,2.37,"French, German","Volunteer Group, Debate Club, Music Club, Sports Team",Quantum Computing
547,Mathematics,Sports Team,"Leadership, Data Analysis, Problem Solving, Public Speaking, Artistic, Programming",Physics,3.31,"German, Spanish","Coding Club, Sports Team",Educational Technology
548,Computer Science,Volunteer Group,"Data Analysis, Artistic, Problem Solving",Psychology,3.23,"German, English, Spanish, Japanese","Art Club, Sports Team",Artificial Intelligence
549,Psychology,Art Club,"Problem Solving, Public Speaking, Artistic",Psychology,3.56,"French, English, German, Chinese, Japanese","Debate Club, Sports Team, Volunteer Group, Art Club, Coding Club, Music Club",Climate Change
550,Psychology,Music Club,Public Speaking,Computer Science,3.78,French,"Music Club, Art Club, Sports Team, Coding Club",Environmental Sustainability
551,Biology,Debate Club,Public Speaking,History,3.07,"French, English, Chinese","Debate Club, Music Club, Coding Club, Volunteer Group",Social Sciences
552,Biology,Debate Club,"Problem Solving, Leadership, Data Analysis, Artistic",Mathematics,2.91,"Chinese, French, Japanese, Spanish","Sports Team, Debate Club",Cognitive Psychology
553,History,Sports Team,"Data Analysis, Public Speaking, Programming, Problem Solving",Mathematics,3.72,German,"Music Club, Coding Club",Space Exploration
554,Mathematics,Debate Club,"Problem Solving, Artistic, Programming",Physics,3.16,"German, French","Volunteer Group, Coding Club, Music Club, Debate Club",Social Sciences
555,History,Music Club,"Problem Solving, Artistic, Programming",Computer Science,2.12,"German, Spanish",Debate Club,Machine Learning
556,Biology,Debate Club,"Leadership, Programming, Problem Solving",Mathematics,2.54,English,"Music Club, Coding Club, Sports Team, Debate Club",Sustainable Agriculture
557,Mathematics,Art Club,"Problem Solving, Artistic, Programming, Public Speaking, Leadership",Biology,3.5,"German, Japanese","Volunteer Group, Art Club",Space Exploration
558,History,Sports Team,"Artistic, Leadership, Problem Solving, Programming, Data Analysis, Public Speaking",Psychology,3.53,"Chinese, Japanese, Spanish, French, German, English","Music Club, Coding Club, Volunteer Group, Sports Team",Nanotechnology
559,Biology,Sports Team,"Public Speaking, Data Analysis, Programming, Leadership",Psychology,3.9,"Japanese, English, French, German, Spanish","Coding Club, Art Club, Volunteer Group, Debate Club, Sports Team",Blockchain Technology
560,Psychology,Coding Club,"Public Speaking, Artistic",History,2.62,"Japanese, German","Music Club, Volunteer Group, Debate Club, Art Club, Sports Team",Blockchain Technology
561,Mathematics,Music Club,"Artistic, Leadership, Public Speaking, Programming, Data Analysis",Biology,2.98,"Spanish, Chinese",Sports Team,Robotics
562,Physics,Volunteer Group,"Artistic, Programming, Problem Solving, Leadership, Public Speaking, Data Analysis",Biology,3.16,"Japanese, French, German, English, Chinese, Spanish",Art Club,Environmental Sustainability
563,History,Volunteer Group,Data Analysis,Computer Science,3.02,"Japanese, Spanish, German","Volunteer Group, Debate Club, Coding Club, Art Club, Sports Team",Political Science
564,Mathematics,Music Club,"Data Analysis, Public Speaking",History,2.63,"German, Chinese, Japanese, Spanish","Coding Club, Sports Team, Debate Club, Music Club",Healthcare Management
565,Biology,Volunteer Group,"Data Analysis, Leadership, Public Speaking, Artistic",Physics,2.8,"Japanese, German","Debate Club, Coding Club, Music Club, Sports Team, Art Club, Volunteer Group",Biomedical Engineering
566,Biology,Music Club,"Public Speaking, Problem Solving, Programming, Artistic, Data Analysis",Mathematics,3.8,"German, English, French, Chinese, Spanish","Sports Team, Art Club, Music Club",Political Science
567,Mathematics,Music Club,"Public Speaking, Programming",Psychology,2.56,"French, Chinese, English","Debate Club, Music Club, Sports Team, Coding Club",Machine Learning
568,Psychology,Sports Team,"Programming, Problem Solving, Data Analysis, Leadership, Artistic, Public Speaking",Biology,3.55,"English, Japanese, German, Spanish","Sports Team, Debate Club",Space Exploration
569,History,Art Club,Data Analysis,Biology,2.95,French,"Volunteer Group, Art Club, Music Club",Astrophysics
570,Biology,Coding Club,"Leadership, Data Analysis, Artistic",Mathematics,2.24,"Chinese, Japanese, French, German, English","Volunteer Group, Art Club, Debate Club, Sports Team, Coding Club, Music Club",Quantum Computing
571,Mathematics,Music Club,"Public Speaking, Programming, Artistic",History,3.96,"German, Spanish, Chinese, English, French, Japanese","Coding Club, Sports Team",Astrophysics
572,Psychology,Debate Club,"Artistic, Data Analysis",Mathematics,2.82,"German, Chinese, Japanese, French",Debate Club,Astrophysics
573,History,Debate Club,"Programming, Artistic, Leadership, Public Speaking, Problem Solving, Data Analysis",Mathematics,3.5,"Chinese, Spanish, Japanese","Sports Team, Art Club",Cybersecurity
574,Psychology,Debate Club,Leadership,Mathematics,3.97,"Spanish, Chinese, French","Music Club, Volunteer Group, Debate Club, Coding Club, Art Club, Sports Team",Social Sciences
575,Physics,Coding Club,"Problem Solving, Artistic, Programming, Public Speaking, Data Analysis",Psychology,2.89,"Spanish, Japanese","Art Club, Debate Club, Music Club, Sports Team, Coding Club, Volunteer Group",Cognitive Psychology
576,Computer Science,Volunteer Group,"Artistic, Problem Solving, Leadership, Public Speaking",Physics,2.9,"French, Spanish, German, English, Chinese","Music Club, Volunteer Group",Blockchain Technology
577,Psychology,Art Club,Public Speaking,Physics,3.06,"German, Chinese, Japanese, French, Spanish","Volunteer Group, Debate Club, Music Club, Art Club, Coding Club",Human-Computer Interaction
578,Computer Science,Volunteer Group,"Programming, Public Speaking, Artistic, Problem Solving",Biology,3.41,"Spanish, English, Japanese",Volunteer Group,Quantum Computing
579,History,Coding Club,"Public Speaking, Programming, Leadership",History,3.35,"English, Spanish","Volunteer Group, Art Club, Debate Club, Coding Club, Sports Team",Human-Computer Interaction
580,Mathematics,Volunteer Group,"Leadership, Problem Solving",History,2.46,"Chinese, English, German","Debate Club, Music Club, Art Club, Coding Club, Volunteer Group",Educational Technology
581,Mathematics,Art Club,"Programming, Data Analysis, Artistic, Public Speaking, Problem Solving, Leadership",Biology,2.43,"French, English","Art Club, Coding Club, Sports Team, Volunteer Group",Urban Planning
582,Biology,Coding Club,Artistic,History,3.89,"Spanish, French","Coding Club, Art Club, Debate Club, Sports Team, Volunteer Group, Music Club",Machine Learning
583,Mathematics,Sports Team,Artistic,Biology,2.79,"English, Spanish, Japanese","Coding Club, Music Club, Sports Team, Art Club, Volunteer Group, Debate Club",Urban Planning
584,Physics,Volunteer Group,"Programming, Public Speaking, Data Analysis",Physics,2.09,"French, English","Volunteer Group, Coding Club, Debate Club, Sports Team, Art Club",Social Sciences
585,Psychology,Coding Club,"Public Speaking, Artistic, Problem Solving, Programming",Biology,2.79,"Japanese, Chinese",Coding Club,Cybersecurity
586,Physics,Volunteer Group,"Programming, Artistic, Leadership, Public Speaking, Data Analysis",History,3.65,"German, Japanese, Spanish","Coding Club, Art Club, Sports Team, Music Club, Debate Club, Volunteer Group",Data Science
587,Mathematics,Art Club,"Programming, Problem Solving",Psychology,2.5,"Japanese, English","Volunteer Group, Sports Team, Art Club, Debate Club, Coding Club",Nanotechnology
588,Psychology,Music Club,"Leadership, Artistic, Data Analysis",History,2.67,English,"Volunteer Group, Music Club, Debate Club, Sports Team, Coding Club",Bioinformatics
589,Biology,Volunteer Group,"Data Analysis, Leadership, Artistic, Programming, Problem Solving, Public Speaking",Mathematics,2.87,"French, English, Chinese, Japanese","Volunteer Group, Art Club, Music Club, Sports Team",Renewable Energy
590,History,Music Club,"Problem Solving, Programming, Leadership, Artistic, Data Analysis, Public Speaking",Biology,2.48,"French, Japanese",Music Club,Cybersecurity
591,Biology,Volunteer Group,Problem Solving,Mathematics,3.45,"Chinese, German, English, Japanese, French, Spanish","Art Club, Sports Team",Behavioral Economics
592,Mathematics,Debate Club,"Problem Solving, Artistic, Public Speaking, Leadership",Psychology,3.33,"Spanish, Chinese, English, Japanese","Volunteer Group, Debate Club, Art Club",Climate Change
593,Biology,Coding Club,"Public Speaking, Leadership, Problem Solving",Physics,3.65,"German, English, French","Debate Club, Coding Club, Art Club, Music Club",Political Science
594,History,Music Club,"Artistic, Public Speaking, Problem Solving, Data Analysis",Computer Science,2.91,"French, Spanish, English, Chinese, Japanese","Coding Club, Debate Club, Music Club, Art Club, Sports Team, Volunteer Group",Healthcare Management
595,Psychology,Volunteer Group,"Public Speaking, Artistic, Problem Solving, Data Analysis, Programming",Mathematics,3.43,"Japanese, German, French, Spanish, Chinese, English","Coding Club, Sports Team, Art Club, Music Club, Debate Club, Volunteer Group",Data Science
596,History,Debate Club,"Artistic, Problem Solving, Programming, Leadership",Computer Science,3.92,"German, Chinese, Spanish","Debate Club, Sports Team, Volunteer Group, Music Club",Political Science
597,History,Art Club,"Artistic, Leadership, Programming, Public Speaking, Data Analysis, Problem Solving",Computer Science,3.36,"French, Spanish, German, Japanese, Chinese, English","Coding Club, Art Club, Debate Club, Volunteer Group, Music Club",Behavioral Economics
598,History,Music Club,"Leadership, Public Speaking, Programming, Artistic",History,2.57,Spanish,Art Club,Data Science
599,Computer Science,Music Club,"Problem Solving, Leadership, Programming, Artistic",Psychology,2.49,"German, Japanese, Chinese, English, Spanish","Art Club, Volunteer Group, Coding Club, Debate Club, Sports Team, Music Club",Artificial Intelligence
600,History,Music Club,"Data Analysis, Programming, Problem Solving",Physics,2.8,"Spanish, French","Art Club, Sports Team",Behavioral Economics
601,Psychology,Volunteer Group,"Leadership, Public Speaking, Problem Solving, Artistic, Data Analysis",Psychology,2.85,"Chinese, English, French, German",Volunteer Group,Quantum Computing
602,History,Sports Team,"Data Analysis, Programming, Public Speaking",Mathematics,3.96,"English, Chinese, Spanish, French","Coding Club, Music Club",Environmental Sustainability
603,History,Art Club,"Artistic, Programming, Public Speaking, Data Analysis, Problem Solving, Leadership",Computer Science,2.13,German,"Coding Club, Debate Club, Music Club, Volunteer Group, Sports Team, Art Club",Cognitive Psychology
604,Physics,Volunteer Group,"Public Speaking, Artistic",Physics,2.51,English,"Art Club, Volunteer Group",Machine Learning
605,Mathematics,Debate Club,"Programming, Artistic, Leadership",Computer Science,3.27,"English, Chinese, Spanish, Japanese, German","Coding Club, Debate Club, Music Club, Art Club, Sports Team, Volunteer Group",Urban Planning
606,History,Volunteer Group,"Problem Solving, Artistic",Computer Science,2.69,"Japanese, German, Chinese, Spanish","Art Club, Coding Club, Volunteer Group, Sports Team, Music Club, Debate Club",Urban Planning
607,Psychology,Coding Club,"Public Speaking, Programming, Problem Solving, Leadership, Data Analysis, Artistic",Computer Science,2.8,"German, Japanese, French",Volunteer Group,Climate Change
608,Physics,Music Club,"Problem Solving, Data Analysis",Computer Science,3.04,"French, Chinese, Spanish","Sports Team, Debate Club, Art Club, Coding Club, Music Club, Volunteer Group",Renewable Energy
609,History,Music Club,"Public Speaking, Artistic, Data Analysis, Problem Solving, Leadership",Physics,3.46,"English, Spanish, Chinese, German","Volunteer Group, Debate Club, Coding Club, Sports Team, Art Club",Cybersecurity
610,Mathematics,Coding Club,"Public Speaking, Programming, Data Analysis, Leadership, Problem Solving",Computer Science,2.95,"Spanish, German, French","Coding Club, Debate Club, Sports Team, Music Club, Volunteer Group",Healthcare Management
611,Computer Science,Coding Club,Artistic,Physics,3.73,"German, Japanese, English, Spanish, French","Volunteer Group, Music Club",Political Science
612,Biology,Sports Team,"Public Speaking, Problem Solving, Data Analysis, Artistic, Leadership, Programming",Psychology,2.89,"German, Chinese, Spanish, English, Japanese","Coding Club, Volunteer Group, Debate Club",Climate Change
613,History,Art Club,"Leadership, Problem Solving, Programming, Data Analysis, Artistic, Public Speaking",Biology,2.41,"Chinese, Japanese, English","Coding Club, Volunteer Group, Debate Club",Artificial Intelligence
614,Computer Science,Coding Club,"Leadership, Public Speaking",Mathematics,3.14,"French, Spanish, Chinese, English, Japanese, German","Art Club, Debate Club, Coding Club, Sports Team, Volunteer Group, Music Club",Biomedical Engineering
615,Mathematics,Volunteer Group,"Public Speaking, Artistic",Psychology,2.04,"Japanese, English, Spanish","Coding Club, Sports Team",Behavioral Economics
616,Physics,Debate Club,Programming,History,3.39,"English, Spanish",Music Club,Climate Change
617,Physics,Art Club,"Artistic, Public Speaking, Data Analysis, Programming",Physics,2.2,"Spanish, English, German, Japanese","Coding Club, Art Club, Volunteer Group, Sports Team",Social Sciences
618,History,Sports Team,Data Analysis,Biology,3.32,"Spanish, Chinese, French, Japanese, English, German","Music Club, Sports Team, Art Club, Coding Club, Volunteer Group, Debate Club",Biomedical Engineering
619,Computer Science,Coding Club,Programming,Computer Science,3.69,"Japanese, French, Chinese, English, German, Spanish","Volunteer Group, Coding Club, Music Club, Sports Team, Debate Club",Astrophysics
620,Computer Science,Coding Club,"Programming, Public Speaking",History,3.06,"French, Japanese, Spanish, Chinese","Coding Club, Music Club, Volunteer Group, Art Club, Sports Team",Cognitive Psychology
621,Psychology,Volunteer Group,"Data Analysis, Artistic",Computer Science,2.49,"French, Japanese, Chinese, English, Spanish, German","Volunteer Group, Art Club, Sports Team",Cybersecurity
622,Biology,Coding Club,"Programming, Data Analysis, Public Speaking, Leadership, Artistic, Problem Solving",Mathematics,3.43,"German, French, Chinese, Spanish","Art Club, Debate Club",Social Sciences
623,Computer Science,Volunteer Group,"Public Speaking, Problem Solving, Artistic, Programming",Mathematics,3.81,"Chinese, Japanese, French","Music Club, Coding Club, Art Club",Data Science
624,Biology,Volunteer Group,"Problem Solving, Public Speaking, Artistic, Data Analysis, Programming",Mathematics,3.33,"Chinese, German","Volunteer Group, Art Club, Debate Club, Sports Team, Music Club",Robotics
625,Biology,Coding Club,"Data Analysis, Programming",Biology,3.52,German,"Coding Club, Volunteer Group, Debate Club, Music Club",Machine Learning
626,History,Sports Team,Artistic,History,2.76,"Spanish, Chinese, Japanese, English, French","Sports Team, Debate Club",Bioinformatics
627,Biology,Art Club,Leadership,Computer Science,3.75,"English, French, Japanese, Spanish","Debate Club, Music Club, Volunteer Group, Sports Team",Biomedical Engineering
628,Computer Science,Art Club,"Artistic, Problem Solving, Programming",Psychology,2.71,"Japanese, English, Spanish","Volunteer Group, Art Club, Music Club, Sports Team, Debate Club, Coding Club",Healthcare Management
629,Physics,Volunteer Group,Leadership,Physics,2.13,"Chinese, Japanese","Music Club, Sports Team, Coding Club, Art Club",Robotics
630,Physics,Volunteer Group,"Leadership, Data Analysis, Artistic",Physics,2.95,"Spanish, German, English","Debate Club, Coding Club",Natural Language Processing
631,History,Coding Club,"Programming, Leadership, Artistic, Data Analysis, Public Speaking, Problem Solving",Mathematics,2.24,"Japanese, Spanish, English","Debate Club, Music Club, Volunteer Group",Astrophysics
632,Psychology,Music Club,"Public Speaking, Artistic, Programming",Biology,3.93,"Chinese, English, Spanish, French, German, Japanese","Debate Club, Volunteer Group, Art Club, Sports Team, Music Club, Coding Club",Sustainable Agriculture
633,History,Coding Club,"Public Speaking, Data Analysis, Artistic, Problem Solving, Programming, Leadership",Psychology,3.52,German,Volunteer Group,Blockchain Technology
634,Biology,Music Club,"Data Analysis, Leadership",History,3.69,"English, Japanese, German, Spanish, Chinese, French","Volunteer Group, Debate Club",Political Science
635,Biology,Coding Club,"Problem Solving, Programming, Leadership, Public Speaking",Computer Science,3.15,"Spanish, English, French, Japanese, German","Music Club, Volunteer Group",Natural Language Processing
636,Psychology,Debate Club,"Programming, Public Speaking, Leadership",Psychology,2.71,Spanish,"Coding Club, Debate Club, Sports Team",Space Exploration
637,Physics,Volunteer Group,"Public Speaking, Problem Solving, Artistic",History,2.19,English,"Debate Club, Coding Club, Music Club, Volunteer Group",Cognitive Psychology
638,Psychology,Sports Team,Leadership,Psychology,3.46,"English, French, Chinese, German, Japanese","Sports Team, Music Club, Volunteer Group, Coding Club, Debate Club",Healthcare Management
639,Mathematics,Volunteer Group,"Programming, Problem Solving, Data Analysis",Physics,2.71,"Spanish, Chinese, German, French","Coding Club, Debate Club, Volunteer Group, Art Club, Music Club, Sports Team",Urban Planning
640,Physics,Art Club,Artistic,Mathematics,3.42,"Chinese, German","Sports Team, Debate Club",Quantum Computing
641,Mathematics,Sports Team,"Artistic, Data Analysis, Programming",Mathematics,3.61,Spanish,"Sports Team, Volunteer Group, Debate Club",Sustainable Agriculture
642,Physics,Art Club,"Problem Solving, Data Analysis, Leadership",Psychology,2.78,Japanese,"Sports Team, Art Club, Coding Club, Volunteer Group, Debate Club",Renewable Energy
643,Biology,Music Club,"Public Speaking, Data Analysis, Programming, Leadership",Mathematics,3.64,"French, German",Music Club,Blockchain Technology
644,Physics,Debate Club,"Programming, Public Speaking, Problem Solving, Data Analysis",Psychology,3.83,English,"Coding Club, Debate Club, Sports Team, Art Club",Behavioral Economics
645,Psychology,Art Club,"Data Analysis, Artistic, Leadership, Problem Solving, Public Speaking, Programming",Biology,3.55,"Chinese, English, Spanish, Japanese, German, French",Sports Team,Quantum Computing
646,Physics,Art Club,"Problem Solving, Artistic, Leadership, Programming, Data Analysis, Public Speaking",Physics,2.08,English,"Music Club, Volunteer Group",Nanotechnology
647,Computer Science,Art Club,"Data Analysis, Leadership, Programming, Public Speaking, Problem Solving",Mathematics,3.81,"Chinese, French, German","Art Club, Coding Club",Data Science
648,Psychology,Music Club,"Problem Solving, Programming, Data Analysis, Public Speaking, Leadership, Artistic",Physics,2.21,"Japanese, Spanish","Coding Club, Sports Team",Cybersecurity
649,Computer Science,Music Club,"Leadership, Data Analysis, Programming, Problem Solving, Artistic, Public Speaking",Physics,2.01,"Japanese, Spanish, Chinese, German","Sports Team, Music Club, Coding Club, Art Club, Debate Club",Renewable Energy
650,Biology,Music Club,Leadership,History,3.74,"Japanese, English","Art Club, Music Club, Coding Club, Volunteer Group, Sports Team, Debate Club",Environmental Sustainability
651,History,Music Club,"Leadership, Programming, Problem Solving, Public Speaking, Artistic",History,3.31,"Spanish, Chinese, German, French","Debate Club, Music Club, Coding Club, Art Club",Human-Computer Interaction
652,Computer Science,Coding Club,"Data Analysis, Public Speaking, Artistic, Programming",Physics,2.61,"German, Spanish, English","Music Club, Coding Club, Art Club, Volunteer Group, Sports Team, Debate Club",Natural Language Processing
653,Mathematics,Debate Club,"Artistic, Public Speaking, Data Analysis, Problem Solving, Programming, Leadership",History,2.47,"Japanese, French",Debate Club,Cybersecurity
654,Mathematics,Sports Team,"Artistic, Data Analysis",Biology,2.14,"French, English","Music Club, Coding Club, Art Club",Sustainable Agriculture
655,Mathematics,Music Club,"Data Analysis, Artistic, Public Speaking, Problem Solving, Leadership, Programming",History,2.51,"Chinese, French","Music Club, Volunteer Group, Sports Team, Coding Club, Debate Club, Art Club",Natural Language Processing
